Code,Date,Open,High,Low,Close,Volume,Value,Trades
XIJ,2019-9-23,0,1398.4,1384,1393.1,0,0,0
XIJ,2019-9-24,0,1395.1,1377.1,1377.5,0,0,0
XIJ,2019-9-25,0,1401.4,1371.4,1391.1,0,0,0
XIJ,2019-9-26,0,1409,1382.6,1386,0,0,0
XIJ,2019-9-27,0,1408.2,1386,1401.9,0,0,0
XIJ,2019-9-30,0,1402.8,1382.7,1383.7,0,0,0
XIJ,2019-10-1,0,1398.4,1376,1398.4,0,0,0
XIJ,2019-10-2,0,1398.4,1364,1364.7,0,0,0
XIJ,2019-10-3,0,1364.7,1320,1332.2,0,0,0
XIJ,2019-10-4,0,1350.3,1332.2,1346.2,0,0,0
XIJ,2019-10-7,0,1369.6,1346.2,1365.3,0,0,0
XIJ,2019-10-8,0,1375.5,1357.1,1370,0,0,0
XIJ,2019-10-9,0,1371.2,1336.3,1369.2,0,0,0
XIJ,2019-10-10,0,1385,1362,1364.5,0,0,0
XIJ,2019-10-11,0,1387,1364.5,1378.9,0,0,0
XIJ,2019-10-14,0,1408.8,1378.9,1402.2,0,0,0
XIJ,2019-10-15,0,1418.9,1402.2,1409.1,0,0,0
XIJ,2019-10-16,0,1420.5,1399.2,1408.4,0,0,0
XIJ,2019-10-17,0,1409.8,1373.1,1374.6,0,0,0
XIJ,2019-10-18,0,1379.4,1354.7,1364.7,0,0,0
XIJ,2019-10-21,0,1364.7,1323.8,1334.7,0,0,0
XIJ,2019-10-22,0,1346.5,1328.2,1329.5,0,0,0
XIJ,2019-10-23,0,1335.2,1303.4,1331.8,0,0,0
XIJ,2019-10-24,0,1348.2,1313.5,1316.1,0,0,0
XIJ,2019-10-25,0,1336.8,1315.8,1324.9,0,0,0
XIJ,2019-10-28,0,1335.8,1317.1,1320.6,0,0,0
XIJ,2019-10-29,0,1347.6,1320.6,1334.1,0,0,0
XIJ,2019-10-30,0,1337.2,1314.6,1315.1,0,0,0
XIJ,2019-10-31,0,1336.4,1315.1,1329.1,0,0,0
XIJ,2019-11-1,0,1329.1,1307.5,1324.1,0,0,0
XIJ,2019-11-4,0,1345.3,1322.9,1324.2,0,0,0
XIJ,2019-11-5,0,1335.9,1314.4,1321.6,0,0,0
XIJ,2019-11-6,0,1321.9,1297.1,1297.1,0,0,0
XIJ,2019-11-7,0,1339.7,1297.1,1339.5,0,0,0
XIJ,2019-11-8,0,1368.5,1339.5,1365.8,0,0,0
XIJ,2019-11-11,0,1389.7,1365.8,1380.5,0,0,0
XIJ,2019-11-12,0,1397.7,1379.6,1389.4,0,0,0
XIJ,2019-11-13,0,1410.7,1387.2,1400.6,0,0,0
XIJ,2019-11-14,0,1439,1400.6,1423.6,0,0,0
XIJ,2019-11-15,0,1448.7,1423.6,1446.4,0,0,0
XIJ,2019-11-18,0,1458.4,1432.5,1446.2,0,0,0
XIJ,2019-11-19,0,1448,1418.4,1428.5,0,0,0
XIJ,2019-11-20,0,1431.1,1417.1,1428.4,0,0,0
XIJ,2019-11-21,0,1428.4,1404.5,1410.4,0,0,0
