Code,Date,High,Low,Close,Code,High,Low,Close,Code,High,Low,Close,Code,High,Low,Close,Cases India,Cases UK,Cases US,Cases STRAYA
XFJ,2019-09-23,6529.1,6490.6,6510.6,XHJ,36132.7,35749.2,36007.4,XIJ,1398.4,1384,1393.1,XJR,4829.9,4798.6,4805.7,0,0,0,0
XFJ,2019-09-24,6544.9,6510.6,6532.5,XHJ,36338.9,36006.3,36202.1,XIJ,1395.1,1377.1,1377.5,XJR,4820.2,4786.1,4788,0,0,0,0
XFJ,2019-09-25,6533.9,6477.9,6513.7,XHJ,36202.1,35725,36006,XIJ,1401.4,1371.4,1391.1,XJR,4788,4713.2,4719.6,0,0,0,0
XFJ,2019-09-26,6536.4,6466.4,6493.7,XHJ,36023.3,35526.5,35630.6,XIJ,1409,1382.6,1386,XJR,4735.3,4677.3,4678.8,0,0,0,0
XFJ,2019-09-27,6535.9,6493.7,6523,XHJ,35913.6,35590,35718.5,XIJ,1408.2,1386,1401.9,XJR,4705.9,4673.3,4705,0,0,0,0
XFJ,2019-09-30,6527.9,6477.7,6477.7,XHJ,35839.9,35551.5,35653.6,XIJ,1402.8,1382.7,1383.7,XJR,4753.8,4702.9,4704,0,0,0,0
XFJ,2019-10-01,6504.7,6448.2,6499.9,XHJ,36395.9,35642.4,36395.9,XIJ,1398.4,1376,1398.4,XJR,4710.8,4657.7,4710.8,0,0,0,0
XFJ,2019-10-02,6499.9,6369.2,6378.9,XHJ,36395.9,35788,35821.4,XIJ,1398.4,1364,1364.7,XJR,4710.8,4640,4645.8,0,0,0,0
XFJ,2019-10-03,6378.9,6194,6212.1,XHJ,35821.4,34761.7,35022.9,XIJ,1364.7,1320,1332.2,XJR,4645.8,4539.1,4539.1,0,0,0,0
XFJ,2019-10-04,6225.1,6171.3,6207.6,XHJ,35892.7,35021.7,35832.4,XIJ,1350.3,1332.2,1346.2,XJR,4572.6,4539.1,4553.3,0,0,0,0
XFJ,2019-10-07,6246,6207.6,6230.7,XHJ,36287.8,35832.4,36287.6,XIJ,1369.6,1346.2,1365.3,XJR,4590.7,4553.3,4585.5,0,0,0,0
XFJ,2019-10-08,6266.3,6230.7,6252.6,XHJ,36469.5,36269,36469.5,XIJ,1375.5,1357.1,1370,XJR,4616.7,4585.5,4608.2,0,0,0,0
XFJ,2019-10-09,6252.6,6170.4,6201.1,XHJ,36469.5,35769.5,36402.8,XIJ,1371.2,1336.3,1369.2,XJR,4608.2,4556.3,4561,0,0,0,0
XFJ,2019-10-10,6228.4,6184.6,6205.4,XHJ,36557.2,36227.7,36501.2,XIJ,1385,1362,1364.5,XJR,4561.2,4523.7,4542.5,0,0,0,0
XFJ,2019-10-11,6271.7,6205.4,6271.7,XHJ,37129.5,36501.2,36973,XIJ,1387,1364.5,1378.9,XJR,4628.2,4542.5,4607.1,0,0,0,0
XFJ,2019-10-14,6344.9,6271.7,6312.2,XHJ,37385.5,36860.1,36937,XIJ,1408.8,1378.9,1402.2,XJR,4680.9,4607.1,4656.8,0,0,0,0
XFJ,2019-10-15,6335.5,6297.7,6330.4,XHJ,37503.9,36767.6,37445.1,XIJ,1418.9,1402.2,1409.1,XJR,4656.8,4593.4,4602.3,0,0,0,0
XFJ,2019-10-16,6435.1,6330.4,6425.7,XHJ,38246.9,37445.1,38182.4,XIJ,1420.5,1399.2,1408.4,XJR,4620.3,4595.8,4608.7,0,0,0,0
XFJ,2019-10-17,6445.7,6393,6403,XHJ,38685.3,37909.3,37978.5,XIJ,1409.8,1373.1,1374.6,XJR,4608.7,4531.2,4531.2,0,0,0,0
XFJ,2019-10-18,6403,6352.3,6377.6,XHJ,38145.7,37590.2,37756.7,XIJ,1379.4,1354.7,1364.7,XJR,4539.1,4509.6,4516.4,0,0,0,0
XFJ,2019-10-21,6383.6,6331.4,6383.6,XHJ,37828.7,37491.8,37662.4,XIJ,1364.7,1323.8,1334.7,XJR,4533.3,4505.5,4527.5,0,0,0,0
XFJ,2019-10-22,6408.3,6379.1,6397.4,XHJ,37816.3,37406.1,37624.6,XIJ,1346.5,1328.2,1329.5,XJR,4570.4,4527.5,4568.3,0,0,0,0
XFJ,2019-10-23,6403.1,6359.1,6392.3,XHJ,37678.7,37066.6,37481.4,XIJ,1335.2,1303.4,1331.8,XJR,4595.9,4558.9,4579.4,0,0,0,0
XFJ,2019-10-24,6432.6,6392.3,6412.6,XHJ,37811.6,37479.7,37704.1,XIJ,1348.2,1313.5,1316.1,XJR,4638.1,4579.4,4612.1,0,0,0,0
XFJ,2019-10-25,6447.9,6412.6,6445,XHJ,38521.8,37704.1,38398.5,XIJ,1336.8,1315.8,1324.9,XJR,4648.8,4612.1,4635.7,0,0,0,0
XFJ,2019-10-28,6453.4,6419.1,6427.2,XHJ,38721.2,38398.5,38436.8,XIJ,1335.8,1317.1,1320.6,XJR,4682.4,4635.7,4660.8,0,0,0,0
XFJ,2019-10-29,6439,6412.9,6423.5,XHJ,38812.6,38355.4,38547.9,XIJ,1347.6,1320.6,1334.1,XJR,4698.1,4660.8,4678.5,0,0,0,0
XFJ,2019-10-30,6423.5,6353,6365.4,XHJ,38612.8,38312.2,38361.5,XIJ,1337.2,1314.6,1315.1,XJR,4678.5,4633.6,4638.6,0,0,0,0
XFJ,2019-10-31,6365.4,6255.5,6295,XHJ,38671.9,38315.7,38356.8,XIJ,1336.4,1315.1,1329.1,XJR,4640.1,4602.6,4625.1,0,0,0,0
XFJ,2019-11-01,6295,6213.7,6245.4,XHJ,38784.2,38356.8,38763.2,XIJ,1329.1,1307.5,1324.1,XJR,4639.2,4597.6,4637.6,0,0,0,0
XFJ,2019-11-04,6247.2,6178.8,6195.6,XHJ,39219.1,38763.2,38897.3,XIJ,1345.3,1322.9,1324.2,XJR,4722,4637.6,4721.2,0,0,0,0
XFJ,2019-11-05,6238.7,6171.8,6200.2,XHJ,39288.9,38865.5,39087,XIJ,1335.9,1314.4,1321.6,XJR,4767.5,4721.2,4742.6,0,0,0,0
XFJ,2019-11-06,6233.3,6184.2,6190.1,XHJ,39293.1,38693.7,38693.7,XIJ,1321.9,1297.1,1297.1,XJR,4770.3,4742.6,4755.5,0,0,0,0
XFJ,2019-11-07,6261.3,6190.1,6256.6,XHJ,39096.2,38674.7,39096.2,XIJ,1339.7,1297.1,1339.5,XJR,4756.7,4724,4755.9,0,0,0,0
XFJ,2019-11-08,6292.1,6253.9,6274.4,XHJ,39134.1,38824.9,39066.3,XIJ,1368.5,1339.5,1365.8,XJR,4771.1,4741.1,4755.5,0,0,0,0
XFJ,2019-11-11,6300,6251.6,6297.3,XHJ,40177.3,39066.3,40177.3,XIJ,1389.7,1365.8,1380.5,XJR,4755.5,4731.9,4743.5,0,0,0,0
XFJ,2019-11-12,6321.7,6230.2,6267.4,XHJ,40214,39717.1,39814.6,XIJ,1397.7,1379.6,1389.4,XJR,4743.5,4702.1,4737.1,0,0,0,0
XFJ,2019-11-13,6273.9,6191.5,6191.5,XHJ,40203.9,39661.7,39765.8,XIJ,1410.7,1387.2,1400.6,XJR,4737.8,4682.9,4689.4,0,0,0,0
XFJ,2019-11-14,6199.3,6144,6188.3,XHJ,40457,39765.8,40196.7,XIJ,1439,1400.6,1423.6,XJR,4704.5,4646.4,4704.5,0,0,0,0
